date,pageviews
1/15/2020,793
1/16/2020,750
1/17/2020,439
1/18/2020,200
1/19/2020,191
1/20/2020,243
1/21/2020,262
1/22/2020,191
1/23/2020,216
1/24/2020,212
1/25/2020,130
1/26/2020,90
1/27/2020,201
1/28/2020,212
1/29/2020,212
1/30/2020,233
1/31/2020,214
2/1/2020,84
2/2/2020,95
2/3/2020,144
2/4/2020,161
2/5/2020,146
2/6/2020,134
2/7/2020,106
2/8/2020,102
2/9/2020,97
2/10/2020,124
2/11/2020,123
2/12/2020,170
2/13/2020,128
2/14/2020,134
2/15/2020,114
2/16/2020,107
2/17/2020,127
2/18/2020,150
2/19/2020,172
2/20/2020,115
2/21/2020,114
2/22/2020,90
2/23/2020,95
2/24/2020,126
2/25/2020,116
2/26/2020,146
2/27/2020,133
2/28/2020,102
2/29/2020,92
3/1/2020,87
3/2/2020,93
3/3/2020,112
3/4/2020,102
3/5/2020,100
3/6/2020,103
3/7/2020,77
3/8/2020,84
3/9/2020,72
3/10/2020,111
3/11/2020,93
3/12/2020,75
3/13/2020,69
3/14/2020,41
3/15/2020,60
3/16/2020,56
3/17/2020,50
3/18/2020,46
3/19/2020,27
3/20/2020,33
3/21/2020,39
3/22/2020,37
3/23/2020,243
3/24/2020,92
3/25/2020,54
3/26/2020,55
3/27/2020,36
3/28/2020,64
3/29/2020,56
3/30/2020,34
3/31/2020,38
4/1/2020,34
4/2/2020,46
4/3/2020,38
4/4/2020,34
4/5/2020,36
4/6/2020,44
4/7/2020,34
4/8/2020,42
4/9/2020,47
4/10/2020,46
4/11/2020,59
4/12/2020,35
4/13/2020,42
4/14/2020,59
4/15/2020,43
4/16/2020,44
4/17/2020,46
4/18/2020,56
4/19/2020,54
4/20/2020,40
4/21/2020,24
4/22/2020,42
4/23/2020,60
4/24/2020,39
4/25/2020,35
4/26/2020,46
4/27/2020,49
4/28/2020,46
4/29/2020,38
4/30/2020,45
5/1/2020,59
5/2/2020,32
5/3/2020,33
5/4/2020,52
5/5/2020,48
5/6/2020,36
5/7/2020,55
5/8/2020,34
5/9/2020,32
5/10/2020,48
5/11/2020,34
5/12/2020,44
5/13/2020,45
5/14/2020,49
5/15/2020,34
5/16/2020,46
5/17/2020,46
5/18/2020,48
5/19/2020,40
5/20/2020,61
5/21/2020,39
5/22/2020,31
5/23/2020,51
5/24/2020,31
5/25/2020,74
5/26/2020,32
5/27/2020,50
5/28/2020,40
5/29/2020,38
